Graph info:
Nodes: 10
Edges: 24
Size of EDS from Maximal Matching: 5
Greedy algorithm: 4
Fitenss: Infinity, Gradual mutation: False
Parameters: (10, 10, 0.01, 0.05), Solution Size: 10, Approximation Ratio: 0.50
Parameters: (10, 10, 0.05, 0.1), Solution Size: 9, Approximation Ratio: 0.56
Parameters: (10, 20, 0.05, 0.05), Solution Size: 13, Approximation Ratio: 0.38
Parameters: (10, 20, 0.05, 0.1), Solution Size: 12, Approximation Ratio: 0.42
Parameters: (10, 50, 0.05, 0.05), Solution Size: 8, Approximation Ratio: 0.62
Parameters: (10, 50, 0.05, 0.1), Solution Size: 10, Approximation Ratio: 0.50
Parameters: (20, 10, 0.05, 0.05), Solution Size: 5, Approximation Ratio: 1.00
Parameters: (20, 10, 0.05, 0.1), Solution Size: 6, Approximation Ratio: 0.83
Parameters: (20, 20, 0.05, 0.05), Solution Size: 4, Approximation Ratio: 1.25
Parameters: (20, 20, 0.05, 0.1), Solution Size: 5, Approximation Ratio: 1.00
Parameters: (20, 50, 0.05, 0.05), Solution Size: 4, Approximation Ratio: 1.25
Parameters: (20, 50, 0.05, 0.1), Solution Size: 4, Approximation Ratio: 1.25
Parameters: (50, 10, 0.05, 0.05), Solution Size: 5, Approximation Ratio: 1.00
Parameters: (50, 10, 0.05, 0.1), Solution Size: 4, Approximation Ratio: 1.25
Parameters: (50, 20, 0.05, 0.05), Solution Size: 4, Approximation Ratio: 1.25
Parameters: (50, 20, 0.05, 0.1), Solution Size: 4, Approximation Ratio: 1.25
Parameters: (50, 50, 0.05, 0.05), Solution Size: 4, Approximation Ratio: 1.25
Parameters: (50, 50, 0.05, 0.1), Solution Size: 4, Approximation Ratio: 1.25
